Nota,Judul Buku
PNJM-230112-0105,['Melacak Dana Revolusi: Pengakuan Para Saksi & Pemburu Harta Karun Soekarno/ Taufik Adi Susilo']
PNJM-230112-0106,['Melacak Dana Revolusi: Pengakuan Para Saksi & Pemburu Harta Karun Soekarno/ Taufik Adi Susilo']
PNJM-230112-0107,['Top Modul Soal Resmi Psikotest Terupdate dan Terlengkap/ Mikhaela M']
PNJM-230112-0108,['Fantasteen: Hunted/ Mahesi Moktikanana']
PNJM-230112-0109,"['Cara Cespleng Pintar Biologi SMA Kelas 10,11,12: Langkah Jitu Sukses Masuk Perguruan Tinggi Favorit/Reza Fikri Ardianto', 'Sapu Bersih Ujian Biologi SMA/MA:Edisi Lengkap Pasti Masuk Perguruan Tinggi Idaman dan Favorit Kelas X, XI dan XII/ Yulia Rachmawti, Agus Kamaludin']"
PNJM-230112-0110,"['Panduan Materi Lulus Ujian Nasional Bahasa Inggris Smp & Tes Masuk Sma/Smk: English Tests/ Slamet Riyanto', 'Buku Pintar Tubuh Manusia/ Ika Rifqiawati, Annah El Hisani']"
PNJM-230112-0111,['Yakin 30 Menit Bisa: Top Score Bahasa Inggris Untuk SMP Kelas 7/ Inet Gunawan']
PNJM-230113-0112,"['Dasar-Dasar Evaluasi Pendidikan Edisi Revisi/ Suharsimi Arikunto', 'Evaluasi Program Dan Instrumen Evaluasi Untuk Program Pendidikan Dan Penelitian/ Farida Yusuf Tayibnapis']"
PNJM-230113-0113,"['EVALUASI PROGRAM PENDIDIKAN LUAR SEKOLAH: UNTUK PENDIDIKAN NONFORMAL DAN PENGEMBANGAN SUMBER DAYA MANUSIA/ DJUDJU SUDJANA', 'Evaluasi Program Pendidikan: Pedoman Teoretis Praktis Bagi Mahasiswa Dan Praktisi Pendidikan Edisi Kedua/Suharsimi Arikunto']"
PNJM-230113-0114,"['Evaluasi Program Dan Instrumen Evaluasi Untuk Program Pendidikan Dan Penelitian/ Farida Yusuf Tayibnapis', 'Public Policy: Pengantar Teori & Praktik Analisis Kebijakan/ Wayne Parsons; Penerjemah, Tri Wibowo Budi Santoso']"
PNJM-230113-0115,"['PRRI Pemberontak Atau Bukan?/ Syamdani', 'TRAGEDI RIMBA JIRAT PANJANG/ MOHD. NASIR']"
PNJM-230114-0116,"['Niloya: Manusia Pohon/ Alim Ekiz; Penerjemah, Maria M. Lubis', 'I Can Say Bismillah/ Ahmad Zakky']"
PNJM-230114-0117,"['Belajar Membaca Lewat Gambar/Rini Fazriana', 'Abi Aku Bisa: Taman Angka (Kemampuan Berhitung)/ Aku Bisa']"
PNJM-230114-0118,['Muda Kaya Raya Mati Masuk Surga/ Yati Nurhayati']
PNJM-230114-0119,"['Pink Berry Club: Keep On Going, Kereta Kami Sampai Ke Stasiun Terakhir/ Rifqi Khoirul Anam']"
PNJM-230114-0120,"['Cincau Cara Pembuatan dan Variasa Olahannya/ Setijo Pitojo, Zumiati']"
PNJM-230114-0121,"['Candrasa/ Primadonna Angela', 'Matematika Itu Mudah dan Menyenangkan Untuk SMP kelas 7,8,9: 99,9 % lulus UN/ Tim Matematika Kreatif']"
PNJM-230114-0122,"['Pedoman Beternak Ayam Broiler/ Bambang Agus Murtidjo', 'Sulap Matematika SMP MTs Kelas 9: Seri Ulangan Anti Perbaikan/ Atsnan, Rahmita Yuliana Gazali']"
PNJM-230114-0123,['Cabai Jawa/ Rahmat Rukmana']
PNJM-230114-0124,"['BubblePop 11/ Astrid Nur Alfaradais, Nur Afiani, Dianara Ai', 'Bubble Pop High School Sweet Story 7/ Aulid Oktadiputri [et.al]']"
PNJM-230114-0125,"['Metodologi Penelitian Pendidikan: Cara Mudah Merencanakan Dan Melaksanakan Penelitian Menyusun Dengan MudahKarya Tulis Ilmiah Disertai Contoh Hasil Penelitian/ Zainal Aqip, Mohammad Hasan Rasidi', 'Profesi Keguruan: Konsep & Strategi Mengembangkan Profesi & Karier Guru/Rulam Ahmadi']"
PNJM-230114-0126,"['Mora dan Megan/ Dewi Savtr', 'My Bastard Prince/ Daasa']"
PNJM-230114-0127,"['Hukum Orang dan Keluarga Edisi Revisi: Perspektif Hukum Perdata Barat/BW, Hukum Islam, dan Hukum Adat/ Soeharyo Soimin', 'Tanya Jawab Seputar Hukum Acara Pidana/ Sunaryo']"
PNJM-230114-0128,"['Guru Dan Anak Didik Dalam Interaksi Edukatif: Suatu Pendekatan Teoretis Psikologis/ Syaiful Bahri Djamarah', 'Belajar & Pembelajaran: Teori Dan Praktik/ Thobroni']"
PNJM-230114-0129,"['PEMBELAJARAN AKTIF: TEORI DAN ASESMEN/ WARSONO', 'Teori Belajar Dan Pembelajaran / Herpratiwi']"
PNJM-230114-0130,['Usaha Budi Daya Lobster Air Tawar Dirumah/ Yusuf Bachtiar']
PNJM-230115-0131,"['Susu dan Yoghurt Kecipir/ Haryoto', 'Fantasteen: Hunted/ Mahesi Moktikanana']"
PNJM-230115-0132,['Bunga-Bunga Di Taman Hati Soekarno Kisah Cinta Bunkarno dengan Sembilan Istri/Haris Priyatna']
PNJM-230115-0133,"['K Novel: Hwaiting, Hye Mi!/ Laksmi P. Manohara']"
PNJM-230115-0134,['Dari Jendela Lantai Tiga/ Y.F. Sarbini']
PNJM-230115-0135,['Membuat Aneka Olahan Nanas/ Lies Suprapti']
PNJM-230115-0136,['BERORGANISASI ITU MENYENANGKAN/ ATI NOVIANTI FATONAH']
PNJM-230115-0137,"['Rahasia Pak Harto: Menyikap Rahasia Umur Panjang, Kesehatan, Kesuksesan, & Kekuasaan Pak Harto/ Mohammad Shoelhi']"
