antecedents,consequents,support,confidence,lift
frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),"frozenset({'THE DEVIL WHO TAMED HER: PELAJARAN CINTA DARI SANG IBLIS PENGGODA/ JOHANNA LINDSEY; PENERJEMAH, ENDANG SULISTIYOWATI'})",0.00039824771007566706,0.1111111111111111,139.5
"frozenset({'THE DEVIL WHO TAMED HER: PELAJARAN CINTA DARI SANG IBLIS PENGGODA/ JOHANNA LINDSEY; PENERJEMAH, ENDANG SULISTIYOWATI'})",frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),0.00039824771007566706,0.5,139.5
frozenset({'AYO MENGGAMBAR HEWAN/ YOGA WIDYANARKO'}),frozenset({'Kisah Teladan Sahabat Nabi/ Hamid Ahmad Ath- Thahir .; penerjemah: Ali Sultan'}),0.00039824771007566706,1.0,1255.5
frozenset({'Kisah Teladan Sahabat Nabi/ Hamid Ahmad Ath- Thahir .; penerjemah: Ali Sultan'}),frozenset({'AYO MENGGAMBAR HEWAN/ YOGA WIDYANARKO'}),0.00039824771007566706,0.5,1255.5
frozenset({'Abi Aku Bisa: Taman Angka (Kemampuan Berhitung)/ Aku Bisa'}),frozenset({'Belajar Membaca Lewat Gambar/Rini Fazriana'}),0.00039824771007566706,1.0,837.0
frozenset({'Belajar Membaca Lewat Gambar/Rini Fazriana'}),frozenset({'Abi Aku Bisa: Taman Angka (Kemampuan Berhitung)/ Aku Bisa'}),0.00039824771007566706,0.33333333333333337,837.0000000000001
frozenset({'Tiga Puluh Tipologi Manusia Dan Rahasia Kepribadiannya/ Ziyad Ulhaq'}),frozenset({'Ada Rasa Surga Di Dalam Dada/ Zen Muhammad Al Hadi'}),0.00039824771007566706,0.33333333333333337,837.0000000000001
frozenset({'Ada Rasa Surga Di Dalam Dada/ Zen Muhammad Al Hadi'}),frozenset({'Tiga Puluh Tipologi Manusia Dan Rahasia Kepribadiannya/ Ziyad Ulhaq'}),0.00039824771007566706,1.0,837.0
frozenset({'Administrasi Pembangunan: Konsep Dimensi Dan Strateginya/ Sondang P. Siagian'}),frozenset({'MEMAHAMI GOOD GOVERNANCE DALAM PERSPEKTIF SUMBER DAYA MANUSIA/ AMBAR TEGUH SULISTIYANI'}),0.00039824771007566706,0.5,1255.5
frozenset({'MEMAHAMI GOOD GOVERNANCE DALAM PERSPEKTIF SUMBER DAYA MANUSIA/ AMBAR TEGUH SULISTIYANI'}),frozenset({'Administrasi Pembangunan: Konsep Dimensi Dan Strateginya/ Sondang P. Siagian'}),0.00039824771007566706,1.0,1255.5
frozenset({'Administrasi Pembangunan: Konsep Dimensi Dan Strateginya/ Sondang P. Siagian'}),frozenset({'Titik Berat Otonomi pada Daerah Tingkat II/Haw. Widjaja'}),0.00039824771007566706,0.5,1255.5
frozenset({'Titik Berat Otonomi pada Daerah Tingkat II/Haw. Widjaja'}),frozenset({'Administrasi Pembangunan: Konsep Dimensi Dan Strateginya/ Sondang P. Siagian'}),0.00039824771007566706,1.0,1255.5
frozenset({'Visi Baru Manajemen Sekolah: Dari Unit Birokrasi Ke Lembaga Akademik/ Sudarwan Danim'}),frozenset({'Administrasi Pendidikan Kontemporer/ Syaiful Sagala'}),0.0007964954201513341,1.0,1255.5
frozenset({'Administrasi Pendidikan Kontemporer/ Syaiful Sagala'}),frozenset({'Visi Baru Manajemen Sekolah: Dari Unit Birokrasi Ke Lembaga Akademik/ Sudarwan Danim'}),0.0007964954201513341,1.0,1255.5
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),frozenset({'AlatAnalisis Data Edisi Revisi: Aplikasi Statistik Untuk Penelitian Bidang Ekonomi & Sosial/ Irwan Gani'}),0.00039824771007566706,0.16666666666666669,83.70000000000002
frozenset({'AlatAnalisis Data Edisi Revisi: Aplikasi Statistik Untuk Penelitian Bidang Ekonomi & Sosial/ Irwan Gani'}),frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,0.2,83.7
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),frozenset({'Asas Metodologi Penelitian: Sebuah Pengenalan Dan Penuntun Langkah Demi Langkah Pelaksanaan Penelitian/Yayah Sopyan'}),0.00039824771007566706,0.16666666666666669,139.50000000000003
frozenset({'Asas Metodologi Penelitian: Sebuah Pengenalan Dan Penuntun Langkah Demi Langkah Pelaksanaan Penelitian/Yayah Sopyan'}),frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,0.33333333333333337,139.50000000000003
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),frozenset({'Ilmu Administrasi Publik Edisi Revisi/ Inu Kencana Syafiie'}),0.00039824771007566706,0.16666666666666669,418.50000000000006
frozenset({'Ilmu Administrasi Publik Edisi Revisi/ Inu Kencana Syafiie'}),frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,1.0,418.5
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),"frozenset({'Model Evaluasi Layanan Dasar Berorientasi Akuntabilitas/ Furqon, Aip Badrujaman'})",0.00039824771007566706,0.16666666666666669,418.50000000000006
"frozenset({'Model Evaluasi Layanan Dasar Berorientasi Akuntabilitas/ Furqon, Aip Badrujaman'})",frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,1.0,418.5
frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),"frozenset({'Reformasi Administrasi: Konsep, Dimensi, Dan Strategi/ Soesilo Zauhar'})",0.00039824771007566706,0.16666666666666669,209.25000000000003
"frozenset({'Reformasi Administrasi: Konsep, Dimensi, Dan Strategi/ Soesilo Zauhar'})",frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'}),0.00039824771007566706,0.5,209.25
